TMGT-CMV Monte Carlo (1000 reps/cell, N=200, extended=TRUE)

Scenario: null_tmgt (Null TMGT (linear only))
  N = 200
  CMV=0.25, same_source=FALSE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=0.047, Type II X2=NaN, Power X2=NA
  CMV=0.50, same_source=FALSE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=0.050, Type II X2=NaN, Power X2=NA
  CMV=0.25, same_source=TRUE, rho=(0.30,0.00,0.00), asym=TRUE ... Type I X2=0.057, Type II X2=NaN, Power X2=NA
  CMV=0.25, same_source=TRUE, rho=(0.30,0.10,0.00), asym=TRUE ... Type I X2=0.059, Type II X2=NaN, Power X2=NA
  CMV=0.50, same_source=TRUE, rho=(0.30,0.00,0.00), asym=TRUE ... Type I X2=0.051, Type II X2=NaN, Power X2=NA
  N = 340
  CMV=0.00, same_source=TRUE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=0.053, Type II X2=NaN, Power X2=NA
  CMV=0.25, same_source=TRUE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=0.047, Type II X2=NaN, Power X2=NA
  CMV=0.50, same_source=TRUE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=0.048, Type II X2=NaN, Power X2=NA
  CMV=0.00, same_source=FALSE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=0.043, Type II X2=NaN, Power X2=NA
  CMV=0.25, same_source=FALSE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=0.061, Type II X2=NaN, Power X2=NA
  CMV=0.50, same_source=FALSE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=0.050, Type II X2=NaN, Power X2=NA
  CMV=0.00, same_source=TRUE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=0.061, Type II X2=NaN, Power X2=NA
  CMV=0.25, same_source=TRUE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=0.045, Type II X2=NaN, Power X2=NA
  CMV=0.50, same_source=TRUE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=0.056, Type II X2=NaN, Power X2=NA
  CMV=0.00, same_source=FALSE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=0.051, Type II X2=NaN, Power X2=NA
  CMV=0.25, same_source=FALSE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=0.045, Type II X2=NaN, Power X2=NA
  CMV=0.50, same_source=FALSE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=0.050, Type II X2=NaN, Power X2=NA
  CMV=0.25, same_source=TRUE, rho=(0.30,0.00,0.00), asym=TRUE ... Type I X2=0.045, Type II X2=NaN, Power X2=NA
  CMV=0.25, same_source=TRUE, rho=(0.30,0.10,0.00), asym=TRUE ... Type I X2=0.066, Type II X2=NaN, Power X2=NA
  CMV=0.50, same_source=TRUE, rho=(0.30,0.00,0.00), asym=TRUE ... Type I X2=0.059, Type II X2=NaN, Power X2=NA

Measurement sensitivity: Grant (2013) ambivert advantage
  profile=coarse, CMV=0.00 ... Power X2=0.206
  profile=coarse, CMV=0.25 ... Power X2=0.139
  profile=coarse, CMV=0.50 ... Power X2=0.100
  profile=compressed, CMV=0.00 ... Power X2=0.066
  profile=compressed, CMV=0.25 ... Power X2=0.040
  profile=compressed, CMV=0.50 ... Power X2=0.044

Results written to: ./simulations/output/tmgt_cmv_results_extended_20260709_222802.csv
Total cells: 186
